Date,SJ01,SJ02,SJ03,SJ04,SJ05,SJ06,SJ07,SJ08,SJ09,SJ10,SJ11,SJ12,SJ13,SJ14,SJ15,SJ16,SJ17,SJ18,SJ19,SJ20,SJ21,SJ22,SJ23,SJ24,SJ25,SJ26,SJ27,SJ28,SJ29,SJ30,SD01,SD02,SD03,SD04,SD05,SD06,SD07,SD08,SD09,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD55,SD56,SD57,SD58,SD59,SD60,OM01,OM02,OM03,OM04,OM05,OM06,OM07,OM08,OM09,OM10,OM11,OM12,OM13,OM14,OM15,OM16,OM17,OM18,OM19,OM20,OM21,OM22,OM23,OM24,OM25,OM26,OM27,OM28,OM29,OM30,OM31,OM32,OM33,OM34,OM35,OM36,OM37,OM38,OM39,OM40,OM41,OM42,OM43,OM44,OM45,OM46,OM47,OM48,OM49,OM50,OM51,OM52,OM53,OM54,OM55,OM56,OM57,OM58,OM59,OM60,OM61,OM62,OM63,OM64,OM65,OM66,OM67,OM68,OM69,OM70,OM71,OM72
1/11/2010,52.78383778,34.82198721,21.96618895,22.68264502,19.1697472,14.71911236,13.57239168,28.35255558,52.40315215,33.15537822,5.734756718,29.28843754,76.0101673,432.2322995,571.0256767,699.2656282,807.6618951,807.6618951,941.6368434,952.9455032,960.1824137,961.6380043,960.2097295,958.7400818,958.3357728,958.7987111,959.368742,959.7903029,960.0350634,960.5166423,364.9195704,693.0991017,792.0489464,862.0419401,903.4619776,921.8835672,932.0356585,937.8985252,940.8253282,943.9482759,950.1213646,949.8670584,943.5077985,947.6596858,954.1773237,964.2346795,965.6782703,963.2802347,967.4182822,967.7325185,967.6808764,967.3868001,966.9431012,965.9825287,965.8779399,964.3549124,948.0735461,699.012448,966.6910025,316.8973389,950.0406125,140.1631041,86.07037564,59.92271292,41.71497959,30.46160831,24.46404765,897.7166907,949.8518575,961.8686956,961.4127897,962.5989189,960.2189445,839.4491968,687.7839493,956.6210492,923.480758,864.5565548,777.6651662,329.4730239,901.6282094,926.3695558,789.7165775,0.096072205,3.514581338,0.001819579,966.7738787,965.7364457,965.8713086,966.1245041,54.5569666,46.49486111,41.55713967,35.76743362,33.16347349,29.7785394,29.03664625,27.80892392,26.73419227,26.13216281,26.12746916,26.19552823,26.65908603,27.06863348,27.54261164,27.65994849,27.71871628,28.32187327,28.43130161,29.70113569,30.45328379,30.7326265,33.16648239,35.37453719,51.54457488,73.71504217,122.6002654,168.6637445,46.66090655,43.82491761,39.92300906,33.80500052,27.28716131,21.96963847,21.09856009,19.27783004,17.98804608,17.64357545,17.60796162,18.13040809,18.83929298,19.15646619,19.43261,19.4283246,19.62536114,19.99841555,20.64579954,21.48149717,22.38469213,22.51942277,22.97305465,23.47541591,24.17949925,25.03018292,24.7277509,29.28836459,47.29329062,19.21329004,20.42181289,24.22604142,20.05578268,22.79286522,19.90657228,21.87212147,40.41856319,40.96601824,36.49254497,65.24515891,97.68696849,85.20144733,55.5770127,30.86708363
1/12/2010,59.98544314,45.43700665,30.7486466,29.27954189,24.10227685,19.27257788,16.57900989,27.31129753,56.68296711,43.08898191,7.174501369,31.8275842,77.43824253,420.1293476,552.8942264,676.5108433,784.2388264,784.2388264,926.8805281,941.0719318,950.5430692,958.7074305,960.4855162,961.2082844,962.1204281,966.8155142,973.7460632,979.1039658,981.7769814,986.8496787,304.7187087,631.5171513,741.2099067,839.2432849,910.0737527,933.9178874,941.806977,945.6118526,946.5449626,948.4201438,953.9753787,954.8067417,948.2591362,952.11999,958.2189198,965.825606,964.9393438,964.9763495,962.4613705,961.8581359,961.6770871,961.7476648,962.2327773,964.4235026,967.434468,968.1394367,909.7964109,637.8103476,962.8247604,316.9261036,954.7965953,139.1509967,87.74094669,62.16710862,42.81446397,32.83900321,27.09037807,926.7194875,960.5152988,967.9205964,967.9933109,966.7820943,941.8057613,774.6711704,612.060361,961.0254218,940.7816823,900.230683,838.3282013,409.7998063,920.9525445,937.9263961,902.3101985,16.30948805,2.753246523,0.017037416,961.7876275,961.4422824,961.0889091,961.2514909,53.45099378,53.61655955,49.39330677,44.39372782,41.92314923,37.77501639,36.82932613,35.21998713,33.7419035,32.69438914,32.41264518,32.18744882,32.47226669,32.45398523,32.67205193,32.4697094,32.53319619,33.02493546,33.13335913,34.33674884,34.95385826,35.26770175,37.71510506,39.60789132,55.63491142,76.36090871,121.9492563,162.3946305,54.18946966,51.86771099,48.3027462,43.2427179,35.71473453,28.84720665,27.44214378,25.21753766,23.28572847,22.52717241,22.09912839,22.09863414,22.48757422,22.4264166,22.88080329,22.62813171,22.53147842,22.81839075,23.47520037,24.30313708,25.22185491,25.28536175,25.67396806,26.11915453,26.79262066,27.8550534,27.29545279,32.33988182,50.22352419,21.6986869,22.58648908,26.79012962,23.56962287,26.56992384,23.44427154,25.55511767,44.89105521,44.11320492,38.82773829,66.34599423,104.506895,92.55252997,63.48337734,37.02120487
1/13/2010,64.75657324,50.42215677,37.94103863,35.92456003,28.49368586,23.01620724,19.85502097,33.2072913,63.70402861,47.6709105,8.270417283,44.7635373,100.8309975,484.9759092,617.8617477,734.2450323,829.7596505,829.7596505,943.1078841,953.0575339,960.2775796,976.7519957,985.3361905,990.920908,992.6129716,986.7792276,978.2556356,972.2297414,968.3929323,961.7064228,339.892622,713.382205,817.6201636,893.0357571,934.8555609,946.8028393,951.1807353,954.4291426,953.5278721,954.5615654,959.7534453,961.0832214,958.0027014,960.277579,962.603782,965.3552195,963.7667567,967.8448404,964.0930112,964.5715453,965.1790988,965.9969482,965.6236553,964.4782079,966.1995703,965.7860934,942.3627345,723.7826497,965.0675011,390.1410025,960.8580716,182.3783666,119.785524,86.93135965,59.62364344,43.9547681,35.14789615,938.2107379,959.3597431,964.0841408,964.758049,966.5591113,962.570701,833.0126554,662.4552274,966.6208922,956.2488009,927.336565,881.9256706,468.9546862,927.2116013,944.1094392,944.0266819,108.7395605,1.698355962,0.059276351,967.7764486,970.9153144,975.5410271,977.6922131,57.51532932,58.88762697,54.10881484,49.32032247,47.20829757,44.31849118,43.55531963,42.08784787,40.58264085,39.4332331,39.17602022,38.7224497,38.90264348,38.91100677,39.22139339,39.07560782,39.06429919,39.59645772,39.90061939,41.32089102,42.04482333,42.29707754,44.7710849,47.36390694,62.57106725,83.93411624,129.8979119,193.8417797,58.68893011,55.54927878,51.6537261,46.37542311,39.73858613,33.12247954,32.5771123,30.10948437,28.19600789,27.32841589,26.83610102,26.67331215,26.87434624,27.12564739,27.27505036,27.02438354,26.96129497,27.27328161,28.43965179,29.73270333,30.96787246,30.85234539,31.27759089,31.67931267,32.3055286,33.44407378,32.71486857,37.66690266,55.30625975,25.52208753,26.17350908,31.21844031,28.51799184,32.33261726,27.99108815,30.348834,50.57034133,51.44158248,45.12968254,77.41104309,113.1711999,98.52491768,68.55501278,42.95185888
1/14/2010,67.34438765,50.94887261,42.09560247,43.06468658,33.76995613,24.92556397,25.65960719,47.13083285,68.00021489,38.49183563,12.56289239,97.52356982,220.1675194,698.1325188,798.628081,871.3918279,920.4771525,920.4771525,979.5768261,984.7211202,986.0551974,965.8742104,961.5398973,956.7639179,955.2494971,959.7968356,962.86122,965.5350895,967.3198452,971.0725161,452.9031442,814.5173031,896.9563567,941.7162749,955.8420073,959.7745113,962.8100033,965.0699902,964.0966492,963.9866021,962.4053618,961.3537801,962.6064364,970.2337042,975.4826202,985.9667498,986.5778739,988.6693713,987.4762173,987.4724668,986.9650873,985.4474322,982.3913225,979.5277437,979.0445334,975.7255573,975.8241628,877.7860139,981.6288191,546.1297274,961.5713088,276.0369651,182.3160107,134.378853,93.86465224,64.50336254,46.07811638,944.9248002,966.962553,975.9925925,972.0296459,970.073466,967.7767798,880.3417905,707.9096785,983.5341663,962.5758069,921.405707,866.6464367,492.5299845,911.0608508,944.7907461,947.1175944,242.8838703,1.363292785,0.161310032,981.3562222,977.1061414,977.2576974,979.3292001,74.07228895,66.42517201,60.45534114,54.94589237,52.62041187,50.02741909,49.41295683,48.57581166,47.15991561,46.41679049,46.30359348,45.75354473,45.90359398,45.94041566,46.32417909,46.21011015,46.28938778,47.10267127,47.38919977,49.48342232,51.17315892,52.21259936,58.17811628,62.72468988,89.96650585,117.8729425,170.5805701,214.3144107,64.03655231,59.80281707,54.41335618,47.7333227,41.11346988,35.21271859,35.00117548,32.83994095,31.47775779,31.0297391,30.89564472,31.31067516,31.94931755,32.37134405,32.45390336,32.2371514,32.31414692,32.99073718,34.35948581,36.05567284,37.4671824,37.59830209,38.55606031,39.64218243,41.56528338,43.9538875,42.24034075,52.6574719,79.08739487,30.84784997,31.74110385,36.77537473,33.60816677,38.4315234,33.44531494,36.59054768,61.35543084,60.77387555,55.75538925,91.95891798,125.1141235,105.3394809,71.87036963,47.98376127
1/15/2010,76.85965542,57.18229047,50.42734532,53.80847045,42.98804285,30.76054881,29.59556884,53.05896652,71.44071174,37.9748536,19.05293982,158.5259993,313.881838,787.368686,864.8096326,915.9771341,950.1144619,950.1144619,962.1941605,959.2156893,958.2283783,971.0591634,973.335989,974.7875099,971.6546383,961.4576912,956.6226381,951.8049768,948.1859245,941.3797023,464.9363723,857.4648457,925.8725109,958.5558605,966.7530212,967.064429,968.0726007,971.7846794,975.3662059,977.8236472,976.4423021,975.3616098,973.2410475,972.475935,970.1555799,975.1655979,969.4269867,976.9912694,967.3259462,967.1663729,967.5966085,968.8651028,969.6487122,972.5826511,980.9895051,986.2839514,993.0736809,891.8157241,970.4718526,575.358017,975.4420668,308.0701197,214.4655437,163.1817768,115.6923476,75.38535754,51.87109029,960.607453,970.4590454,979.4871744,984.2769496,990.6047872,991.2683462,934.2046528,788.1437396,974.8070361,962.9104582,928.3027585,878.6596394,520.1881313,904.5484816,944.4807345,946.9843,243.9298463,1.259094498,0.230109854,971.0076529,970.6024405,968.7060884,967.2864978,85.25787544,77.61942673,70.99046691,64.50705679,61.36904236,57.74363665,57.05169928,56.0104297,54.57816374,53.72965988,53.6269213,52.88042863,52.82542845,52.55027858,52.65604595,52.29014909,52.35857852,53.02606018,53.23017001,55.35759004,56.39447494,57.03808335,61.74135613,65.93887027,90.04742444,118.5069543,174.9418761,222.931341,75.09582675,70.1109966,63.23318164,54.85535987,46.56841509,39.65757863,39.37326141,37.05874844,35.75472414,35.47842701,35.55422684,36.48654946,37.57622747,38.04787056,38.01467415,37.65648194,37.46058238,37.94682463,39.00637023,40.95817947,42.46493133,42.32464842,43.11189616,44.06088257,45.74352388,47.88542481,47.35084844,55.66466995,80.60556487,36.24073873,36.54210929,40.8731513,39.21958101,43.21830531,39.80483584,43.35452366,69.6480066,67.12762002,63.06329604,99.25485309,134.862623,115.0903774,78.92696015,53.31397823
1/16/2010,89.88719396,67.05374821,61.3561424,66.64297227,55.58153178,41.50546207,32.79838437,53.82457475,79.06335251,45.68277664,22.73953724,182.6506224,323.7543116,793.5114422,872.3032055,921.7696285,949.8041534,949.8041534,970.071029,972.2184696,970.3395589,941.5366357,937.592439,933.0844275,926.9163195,916.4826349,911.9879951,907.2553558,903.8454329,897.3606256,428.9534055,840.4433448,921.6047185,961.0057411,974.9767234,979.0254879,979.4617373,979.6824385,977.7638454,975.7860737,968.9464836,965.821113,963.3698508,968.7011096,971.0301361,974.9649785,970.4207859,978.8051338,967.3796387,965.9629211,963.693758,960.6968149,964.46252,970.5945638,977.4560661,978.1938254,993.2378279,861.0435715,966.5379798,533.8960574,966.3429985,294.1058451,212.3077629,166.2900396,116.9962416,76.20852526,54.53031321,974.9571826,974.411183,973.7525946,973.4496479,972.2722982,973.7918053,927.2841504,776.0689451,980.2908484,978.8191903,959.3404853,919.5015965,565.8599822,924.7571271,943.6877626,946.6244589,256.395761,1.210810007,0.400101536,956.3153788,953.6872088,954.5743262,956.9962724,94.69818377,90.65992729,83.67084654,76.24081377,72.3185151,67.48034791,66.44435108,64.46982237,62.88532368,61.36976675,60.75532806,59.51750684,59.2344019,58.9630086,59.03395025,58.1400001,58.19014589,58.76118819,58.83572201,60.60747639,61.34062866,61.65182066,65.82472634,70.07268067,95.07667017,124.6199456,184.0666941,232.6206617,88.72946624,83.32200487,75.81664582,66.35858591,55.96670655,47.72066633,46.58461988,43.58351509,41.70330064,41.15575727,41.13821499,42.15982938,43.35345781,43.78372486,43.66451565,43.2718461,43.01146082,43.31275769,44.29123366,45.63774916,46.52837145,46.37331005,47.28015204,48.31626411,49.60374455,51.5403324,50.43672335,58.26923803,84.42524687,41.58438536,41.41782467,45.37003756,43.85148172,49.0904328,45.64918538,48.98843714,74.93258035,70.73610985,64.63701236,102.2894253,141.6704196,124.9034154,87.9016192,59.56387214
1/17/2010,99.65466225,76.00870478,71.77477578,78.81770849,68.01380062,52.75697718,38.27889301,56.58020486,88.27732468,52.99748677,26.59424251,204.4608488,343.0716092,812.9579512,885.9589138,929.3830942,953.0752576,953.0752576,951.044391,943.5008113,933.1683013,896.8382098,893.7156601,890.113952,888.1792653,887.0119317,886.5929585,886.1240934,885.6150653,884.9980125,441.918402,850.9332651,931.4956957,971.2967618,981.0808118,978.3914267,974.1364377,972.7163893,973.0399284,975.2577171,975.0690708,974.1212521,968.2328377,963.1685556,958.5076847,953.1965249,939.4116154,957.7916997,931.0945002,928.6362877,926.2121099,923.7793706,930.99834,944.6828721,958.1480261,967.7932339,992.2280528,874.79905,935.8247286,564.5166047,974.2746232,306.2858779,221.4854177,174.3957329,122.5798584,81.28737287,60.79499054,989.0711912,965.3296483,957.3651689,961.4728425,968.0188255,973.1811002,932.0008596,787.7059631,964.5681725,983.3208955,982.9525388,959.4327246,614.8684648,926.1359863,941.237182,945.3111286,326.208566,1.21070698,0.542498827,919.6756897,916.1823063,913.532924,912.1863658,102.6248942,102.0385784,94.990388,87.51515563,83.60834169,78.22458903,76.95870916,74.13929756,72.00141696,69.73870258,68.51798455,66.81723988,66.23979668,65.68994113,65.56117201,64.45726307,64.43465523,64.71623389,64.90613059,65.77790054,65.83225306,66.00456246,68.16527943,70.00999999,86.71308502,111.9114881,168.0065698,231.3101006,99.90950068,94.41280508,86.85167933,76.91555858,65.64264027,55.98135197,54.99735991,51.43908441,48.92472633,47.97290325,47.58293768,48.04434756,48.82849042,49.42849274,49.31499068,48.91220323,48.66666627,48.9081291,50.00530326,51.64763339,52.61661923,52.64221688,53.78293796,54.69585685,55.10578207,55.57893602,54.89766912,58.3201737,75.18725598,47.07653495,46.74432723,51.35168842,49.87279721,56.04186316,50.86109265,54.1441226,78.06877049,74.66954788,67.63971408,108.2257717,152.1725877,134.1661106,96.45097764,66.35359812
1/18/2010,109.0367747,89.8335638,82.36749101,90.2737364,81.19821497,67.93934846,48.7969205,57.48682733,99.54012354,71.33426893,29.08191977,202.9025143,331.1569673,776.2756154,861.2612495,914.4741624,942.4415353,942.4415353,931.8270524,919.9438521,907.6554476,889.9571209,885.9810816,885.989404,884.8483213,879.2116006,877.1771978,873.5924263,871.510697,868.5127392,430.0613577,814.1466788,901.46908,957.3564879,978.6533502,980.0133832,980.3034732,980.4583365,973.4621652,969.3845558,962.8605264,961.3212191,948.0229066,933.5612933,929.3402093,915.3147373,903.7534307,923.0395927,898.6480942,897.1993872,896.1718814,895.7622108,902.642807,919.9236724,943.2194131,962.0579828,991.750508,916.6027145,905.9433994,680.9288063,961.5664431,364.8025255,254.5649263,201.3509776,140.3898705,93.31968943,70.06102757,1028.031728,944.1362298,919.3134963,926.3348834,936.7303314,946.4877103,839.9836491,729.3653327,939.1132825,979.1947524,997.7911428,994.7129339,672.0756346,912.5679874,931.9243259,943.0266075,429.3489418,1.58486821,0.810456766,895.9687455,894.6475296,894.2614301,894.1890055,105.8197718,115.2968537,108.7386654,101.7082188,97.5293227,91.59382367,90.23410964,87.77083826,84.75046643,81.93838175,80.56870763,78.01094429,76.97315558,75.63027318,74.87975478,73.36660385,73.43474388,74.22236323,74.74511425,75.78266287,75.17277217,75.17734353,74.78643624,74.51615206,76.66369279,83.18758535,119.1137846,192.4265083,113.2166774,107.9303381,100.5721533,90.98206274,78.28247853,67.23632065,65.66232832,61.23822176,58.07120438,56.48408957,55.55905191,55.38419247,55.83336067,56.54571994,56.43650166,55.72476391,55.27343261,55.44791118,56.87208732,60.20138288,61.18101831,61.18298054,62.71484848,63.27789398,62.76685337,62.8141828,62.62444814,63.13442492,69.93378957,53.47808162,52.35470299,59.02511871,57.10384603,63.97383241,58.2103912,62.17851905,86.41612709,81.04446745,70.89581092,119.8281474,179.8357806,150.303393,106.6748866,73.80914895
1/19/2010,119.4057678,98.48178482,95.10261703,103.1739662,94.99897909,80.28136237,57.20754961,66.52032665,121.9958807,87.88896294,33.01241889,216.2478609,336.7311306,803.8310045,882.0662676,925.853728,946.6480821,946.6480821,923.853433,910.7275352,896.7283936,875.11251,874.3472843,874.077034,876.1238009,882.0393244,886.2274615,882.7480011,883.7780387,888.0041498,481.1802877,909.3811321,971.5902309,991.6662375,989.1794631,983.9198513,982.7912451,984.0944214,963.4791368,957.5140336,956.7787361,958.4097563,931.7341995,921.2140198,923.7839311,906.3783099,896.1022231,920.976237,892.7690067,892.4621944,892.2714977,892.3759206,901.5355956,930.7748286,964.6968257,985.8145994,1039.145318,1041.984891,908.1129951,968.0117149,957.9775117,638.512633,396.8923086,315.5579158,225.6691243,141.7250716,97.04047362,1129.478392,962.0884056,905.0057214,907.60171,913.5138359,921.6584078,907.8316186,788.8252743,943.1683019,999.5466817,1040.597705,1057.400561,728.8271058,910.5834789,916.6374156,927.6058706,660.9671192,7.971485155,1.160737805,891.6479727,887.6787173,886.9294961,887.4785105,117.2137678,128.2815777,122.2572458,115.9503368,111.7811185,107.0665513,106.3055046,106.7853698,102.6611919,98.63831226,98.15896082,96.0390048,94.98392804,92.41682331,90.37721308,89.15335727,89.31386216,91.99180714,93.7134703,97.47472588,97.46426169,97.18931071,96.09228857,94.35018905,91.8744421,90.23383109,109.1990443,188.871273,126.0945958,121.1165916,112.7844905,100.7108963,88.09718911,76.34243457,75.58482309,70.73329957,67.41862404,65.77531238,64.98687919,65.18478457,65.91390657,67.74753197,67.95798167,66.67493749,65.307459,65.52046883,69.05207725,75.74730102,78.08070258,76.13259737,76.75450142,78.52509816,79.63242841,80.09610534,79.92857242,78.38073595,82.35820452,62.57051412,59.24933883,75.23082062,68.68014232,78.0417273,70.74279801,77.32090521,111.0252235,98.32629649,81.7884988,162.1145593,235.9511232,177.0308277,116.9795656,80.97045517
1/20/2010,130.8345954,105.712164,109.1752723,121.291841,109.541327,88.85467426,67.16675222,91.79857,142.9165783,83.53770502,59.55563585,331.9839919,502.1586345,913.1340853,941.9415105,948.2520885,937.6069177,937.6069177,888.8208434,883.8380114,885.7026253,900.9976705,901.8924166,898.4497674,888.3094266,876.169288,869.3671163,849.9504382,842.8216165,832.8017406,555.1907927,958.312247,1006.880078,1006.20283,991.381602,986.0589638,986.1481094,990.8941148,968.7803071,968.1048565,974.7569103,978.6027915,941.8562266,944.0776672,946.391236,913.7333514,897.1908143,945.2091242,896.306921,896.7752171,897.283275,899.077912,906.9210796,937.166502,981.5964228,1012.249251,1105.396403,1172.815637,913.1729844,1199.564933,977.8645433,1102.260859,868.2376696,629.9544058,427.5441132,274.3853881,158.4477079,1269.877842,1057.1594,907.3920097,909.4850038,916.5010757,921.4072107,902.8732421,785.7189727,993.4791883,1079.122561,1112.336185,1091.571143,760.9458707,925.7800172,944.6116409,919.2323672,702.3046983,26.80026235,1.173789329,900.8647728,899.7555033,902.232762,906.2059123,139.8940335,143.6590165,136.9324938,131.4883238,127.5398528,125.0044606,124.9455246,128.3384159,124.7809168,121.9328695,122.1170066,118.8256838,118.8113585,116.7966748,114.9321198,114.2038681,114.4219131,115.8965236,117.2918516,126.051736,127.0260667,125.4965425,126.6970884,124.7000761,124.6640066,124.6523057,141.305026,187.4604652,138.9477901,132.980894,123.4634154,109.475978,95.72295284,84.53754282,83.64495484,78.61285122,75.83923451,74.84229104,75.16541743,78.45896316,81.5490888,82.82872677,82.84944018,81.26464923,80.59833113,81.72593808,85.75157905,95.87284621,104.7756159,99.79926689,102.6050125,106.5934873,106.7823645,105.6605453,107.7928329,109.2047635,114.6902384,76.26488781,72.89806632,93.98933903,83.18006603,90.88832728,90.59760785,100.2305748,149.4886994,124.6387765,110.9859673,222.5458711,301.1733273,218.8256625,130.8486877,87.80248229
