Date,OM01,OM02,OM03,OM04,OM05,OM06,OM07,OM08,OM09,OM10,OM11,OM12,OM13,OM14,OM15,OM16,OM17,OM18,OM19,OM20,OM21,OM22,OM23,OM24,OM25,OM26,OM27,OM28,OM29,OM30,OM31,OM32,OM33,OM34,OM35,OM36,OM37,OM38,OM39,OM40,OM41,OM42,OM43,OM44,OM45,OM46,OM47,OM48,OM49,OM50,OM51,OM52,OM53,OM54,OM55,OM56,OM57,OM58,OM59,OM60,OM61,OM62,OM63,OM64,OM65,OM66,OM67,OM68,OM69,OM70,OM71,OM72
1/11/2000,76.72,68.76,62.90,55.86,54.04,52.07,51.59,50.67,49.32,48.26,48.11,46.28,45.87,44.48,43.84,40.84,40.90,41.36,41.50,43.10,43.94,43.70,43.40,43.09,42.35,37.85,38.90,55.35,70.78,67.49,62.68,56.00,47.44,39.19,38.32,34.45,31.96,30.47,29.33,28.34,28.25,28.07,27.83,27.09,26.03,25.57,25.59,26.03,26.85,25.90,25.69,25.65,25.54,25.60,25.49,24.90,24.55,25.40,23.79,25.68,27.62,27.16,29.38,31.28,37.55,31.55,33.50,58.94,91.04,81.45,55.56,33.12
1/12/2000,88.05,74.59,67.32,61.32,60.18,59.32,59.10,58.78,57.60,57.02,57.22,55.43,54.85,53.47,52.71,49.23,49.30,49.82,50.16,51.78,52.71,52.43,52.12,51.77,51.00,46.03,46.43,59.83,75.44,71.76,66.41,59.68,52.06,45.12,45.03,41.11,38.99,37.60,36.59,35.96,36.22,36.32,36.02,35.00,33.64,32.93,32.85,33.66,34.77,33.73,33.57,33.58,33.40,33.41,33.13,32.05,31.41,32.74,30.51,32.47,35.82,36.52,38.37,41.04,47.69,40.22,41.56,71.71,104.86,87.19,59.25,38.08
1/13/2000,97.46,84.17,76.64,69.72,67.64,65.54,65.19,65.07,64.14,64.05,64.93,63.27,63.10,61.82,61.11,57.57,57.51,57.56,57.76,59.74,61.07,60.82,60.78,60.49,59.85,54.98,54.55,54.30,85.28,81.54,74.78,66.46,58.47,52.49,52.50,47.89,45.72,44.39,43.65,44.10,45.57,45.92,45.48,44.30,42.85,42.04,41.86,42.89,44.59,43.19,42.89,42.96,42.84,42.70,42.52,41.48,40.91,42.08,39.58,41.22,45.09,43.66,49.91,53.55,62.02,53.84,56.32,88.76,121.16,99.53,65.30,42.97
1/14/2000,102.16,93.31,86.62,79.52,77.13,74.02,73.31,72.38,71.13,70.33,71.22,70.10,69.54,68.45,67.83,64.79,64.67,64.35,64.39,66.54,68.21,67.85,68.27,68.06,67.52,63.02,62.65,62.44,95.61,92.55,85.53,76.66,68.92,62.76,62.85,57.34,54.90,53.37,52.81,53.89,55.83,56.53,55.70,54.50,52.90,51.96,51.58,52.43,54.70,53.07,52.44,52.52,52.37,52.00,51.95,51.01,50.45,52.06,49.33,51.10,55.79,53.53,61.90,66.06,74.11,65.81,69.36,103.04,135.12,113.60,73.76,48.57
1/15/2000,106.95,103.01,97.57,91.10,88.44,84.76,83.89,82.50,80.98,79.90,80.53,79.47,78.32,76.89,75.80,73.05,72.97,72.89,72.93,75.28,76.86,76.47,76.55,76.20,75.25,71.22,70.77,70.56,104.64,102.41,96.61,88.05,80.47,74.15,74.67,69.07,66.41,64.82,64.22,65.48,67.61,68.39,66.96,65.69,63.99,63.04,62.78,63.11,65.65,63.46,62.47,62.54,62.44,62.14,62.17,61.34,60.79,63.01,60.31,62.25,66.48,64.37,74.52,78.75,86.21,77.31,82.11,113.05,147.06,126.52,84.00,55.10
1/16/2000,106.69,113.32,108.64,103.99,101.36,97.70,96.83,95.08,93.30,91.91,91.27,89.77,88.30,86.53,85.56,83.88,84.09,84.66,84.73,86.48,87.07,86.61,86.17,85.70,84.98,81.45,81.17,89.94,113.09,110.64,107.76,101.69,94.20,87.37,88.27,83.26,80.67,79.11,78.17,79.02,81.37,80.79,79.77,78.53,76.84,75.89,75.78,75.96,77.43,75.34,74.95,75.02,74.78,74.39,73.89,72.66,71.89,75.43,72.53,73.90,79.24,77.12,87.95,91.63,100.98,92.64,96.03,124.48,160.02,140.61,97.22,63.32
1/17/2000,115.28,120.95,116.26,112.24,110.13,107.33,106.54,104.87,103.64,102.18,101.48,99.69,98.56,97.36,96.22,94.68,94.88,95.13,95.11,96.25,96.35,95.94,95.59,95.77,100.02,109.30,133.80,162.82,119.12,116.36,112.42,106.48,100.22,94.49,94.92,91.07,88.94,88.12,88.04,89.66,91.71,91.29,90.51,89.65,88.00,86.96,86.63,86.50,87.13,86.07,85.71,85.77,85.79,85.82,85.26,84.96,90.79,86.16,83.77,84.02,90.30,90.65,97.01,100.92,118.41,114.04,114.63,144.29,171.50,149.69,104.80,71.01
1/18/2000,122.97,134.20,128.77,125.31,122.11,118.04,117.11,115.54,114.05,112.92,112.89,111.49,110.42,109.10,108.23,106.66,106.86,107.68,107.74,110.07,110.85,109.93,109.42,109.12,116.20,128.00,165.31,202.77,130.44,126.36,120.92,114.26,107.70,101.71,102.01,98.60,96.95,96.47,96.61,98.42,100.47,100.60,99.79,98.75,97.24,96.68,97.13,97.80,98.67,97.04,96.94,97.50,97.71,97.62,97.72,97.66,107.70,95.65,93.48,95.42,99.56,100.98,105.67,110.78,136.30,128.42,127.96,165.48,198.44,166.49,116.34,79.65
1/19/2000,132.68,146.60,142.15,140.10,136.57,131.69,130.49,128.48,126.79,125.50,125.58,124.37,123.36,122.39,121.86,120.71,120.96,122.05,122.05,124.49,125.06,124.34,124.93,126.09,140.93,161.74,204.44,238.97,141.84,137.34,131.02,123.73,116.42,110.21,110.04,106.74,105.38,105.38,106.16,109.30,112.21,112.74,111.76,110.47,108.80,108.48,109.84,111.93,112.79,111.16,111.59,112.83,113.73,114.03,113.79,116.52,134.95,106.50,104.75,107.15,111.50,113.19,118.91,125.85,162.84,153.30,149.53,211.96,262.89,202.49,130.14,88.98
1/20/2000,143.06,156.35,153.32,152.97,149.62,144.99,143.91,141.87,139.96,138.51,138.59,137.29,136.32,135.42,135.25,134.02,134.11,134.94,135.11,137.50,139.22,139.07,143.49,146.54,170.20,190.20,231.19,262.91,150.95,146.86,140.42,132.97,125.31,119.01,118.63,115.69,115.08,115.77,117.33,121.70,125.51,126.19,125.14,123.86,122.34,122.40,124.29,127.86,127.94,126.29,127.18,128.71,130.73,133.08,132.35,139.60,161.30,119.70,117.93,120.15,125.09,126.83,133.09,141.39,191.38,183.47,181.13,264.05,323.00,249.93,151.32,99.25
1/21/2000,152.20,163.66,161.97,163.24,160.44,156.60,155.80,154.13,152.48,151.30,151.57,150.44,149.39,148.64,148.54,147.10,147.18,147.86,148.04,150.37,152.21,152.11,156.95,161.44,186.04,209.81,248.13,276.72,158.16,154.68,148.55,141.31,133.68,127.19,127.19,124.58,124.63,126.04,128.31,134.01,138.66,139.61,138.56,137.30,136.07,136.72,139.54,147.72,144.31,142.64,144.01,146.28,148.97,151.58,151.06,158.89,182.06,133.13,132.02,133.70,138.51,140.39,147.01,156.20,214.36,207.22,204.52,299.95,365.80,292.36,178.78,112.22
