Date,SD01,SD02,SD03,SD04,SD05,SD06,SD07,SD08,SD09,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD55,SD56,SD57,SD58,SD59,SD60
1/11/2000,305.62,679.09,766.95,796.28,797.41,796.77,796.78,796.61,795.09,795.22,795.13,794.71,790.96,791.93,791.56,795.14,794.14,795.73,793.62,793.31,793.02,792.74,792.93,794.14,795.80,795.50,740.09,458.07,793.22,210.26,794.79,98.23,55.44,44.80,36.25,29.31,26.32,799.22,797.13,795.63,796.30,797.09,798.37,771.95,643.89,795.06,786.71,758.40,696.52,279.38,750.58,758.32,764.24,26.08,4.85,0.58,792.34,791.49,791.19,790.79
1/12/2000,346.92,690.36,764.13,795.00,796.62,795.57,795.47,795.43,793.92,794.18,794.13,793.89,789.02,791.71,791.32,792.54,790.02,796.15,789.42,789.26,789.01,788.80,789.23,791.17,795.42,793.73,730.90,528.47,789.70,317.77,793.92,138.31,69.08,65.67,53.32,39.36,34.06,798.00,795.27,792.01,792.59,793.43,794.81,765.61,643.40,797.12,800.49,780.91,725.24,318.88,745.04,756.44,763.06,53.45,5.49,1.49,788.42,787.25,786.98,786.64
1/13/2000,331.40,650.66,737.60,791.64,800.31,799.51,799.64,800.61,797.71,797.29,796.42,796.04,789.21,791.67,790.92,788.68,785.60,795.19,784.81,784.60,784.33,784.20,784.79,787.14,792.11,791.81,773.04,687.08,785.28,402.64,796.07,187.81,101.48,95.18,78.23,55.60,44.62,796.41,792.93,788.13,788.92,790.21,792.20,744.31,617.94,800.94,816.14,808.64,757.74,350.17,736.72,760.43,760.82,125.15,5.32,2.62,783.90,782.73,782.56,782.38
1/14/2000,334.47,651.34,734.55,795.43,804.61,801.88,800.49,800.14,797.06,796.45,795.48,794.94,789.50,790.62,790.04,785.82,782.45,792.57,781.63,781.36,781.00,780.76,781.22,782.91,787.78,787.63,792.45,722.02,781.48,413.92,795.02,210.98,125.67,112.96,90.98,65.22,54.00,794.03,789.82,784.66,785.15,786.20,787.82,729.94,605.09,801.79,829.46,842.19,818.46,402.89,746.98,764.22,760.63,247.00,30.88,4.04,780.33,779.06,778.77,778.44
1/15/2000,311.39,671.96,744.16,794.16,801.41,799.17,797.69,797.09,794.52,794.73,793.72,792.86,788.71,788.66,786.64,779.74,776.81,785.90,775.85,775.53,775.17,774.92,775.57,777.57,783.14,784.64,799.48,733.19,776.01,436.95,793.05,222.58,143.92,123.63,97.44,72.67,63.82,790.65,785.09,779.95,780.91,782.35,784.59,744.92,638.85,800.04,837.93,860.69,851.01,454.74,749.10,763.82,764.32,415.80,106.69,4.89,774.44,773.17,772.89,772.51
1/16/2000,310.93,663.40,731.35,784.76,798.03,796.68,794.74,792.64,788.45,787.35,786.45,785.71,781.88,779.90,778.26,773.52,770.21,777.05,769.37,769.13,768.94,768.80,769.51,773.47,781.65,784.75,781.43,651.56,770.16,434.63,785.92,219.15,161.49,126.87,98.50,81.86,76.38,785.85,778.76,774.12,775.17,776.62,778.51,726.22,629.48,787.68,823.33,857.42,886.57,542.59,760.11,763.62,767.20,636.83,121.56,5.37,768.61,767.49,767.38,767.35
1/17/2000,274.94,684.25,747.26,786.04,790.93,788.45,786.12,783.32,779.49,778.20,779.30,780.34,778.75,778.07,775.36,768.92,765.12,772.60,764.13,763.59,763.02,762.61,763.22,764.89,768.16,770.98,788.25,736.83,763.75,508.07,780.17,278.57,184.08,141.89,113.12,95.24,88.34,781.37,773.69,768.77,769.50,770.27,771.29,726.95,628.36,784.85,822.76,852.68,867.41,589.94,754.07,761.47,767.06,750.29,98.79,7.22,762.18,761.20,760.99,760.74
1/18/2000,413.75,687.65,744.42,775.89,784.25,784.34,785.36,785.22,778.48,776.16,774.29,775.06,771.37,772.83,771.02,764.26,760.21,770.07,759.43,759.27,758.95,758.76,759.30,761.74,770.39,770.28,801.61,841.86,759.70,739.54,774.74,386.97,237.38,178.85,138.13,111.72,101.42,792.01,770.99,763.94,764.63,765.82,766.69,715.91,627.21,780.82,815.84,846.43,874.76,634.29,751.50,757.50,761.72,761.49,173.80,16.58,758.49,757.21,757.21,757.32
1/19/2000,431.20,698.53,752.33,781.52,786.15,783.76,783.61,783.56,777.23,775.67,775.52,776.76,773.04,774.85,771.56,762.67,757.25,770.17,756.39,756.20,755.89,755.64,756.64,761.86,776.44,780.43,854.08,1002.30,757.42,1125.68,776.44,834.72,532.54,343.93,219.17,153.95,124.35,855.80,780.67,762.46,763.46,765.12,766.24,726.70,635.97,782.98,825.34,863.03,890.95,673.38,753.25,757.21,759.11,765.07,302.45,35.29,755.08,753.47,753.43,753.42
1/20/2000,480.37,710.75,757.44,781.66,784.67,784.24,784.90,783.67,776.45,774.14,774.67,776.37,772.76,774.16,769.72,758.72,752.56,768.19,751.64,751.39,751.14,750.86,752.90,764.21,784.68,796.39,915.95,1102.08,754.67,1271.19,776.00,1206.53,1009.62,734.12,425.97,251.50,164.86,954.17,809.44,759.04,760.37,762.22,763.66,723.19,641.39,785.21,837.25,878.93,906.32,703.94,749.53,755.40,758.37,765.89,441.89,52.37,750.25,748.47,748.41,748.43
1/21/2000,504.36,725.49,767.94,786.32,785.69,785.09,786.59,785.52,775.39,772.24,772.85,774.77,769.85,772.45,767.36,754.52,747.58,765.87,746.68,746.47,746.25,746.06,748.18,760.20,784.33,803.89,951.14,1150.66,750.11,1307.64,774.39,1313.35,1241.60,1077.26,760.47,444.91,241.57,1035.56,843.76,754.91,756.36,758.34,760.14,729.16,651.52,787.05,847.45,892.44,918.52,728.25,747.56,753.78,757.44,765.61,536.29,69.89,745.62,743.82,743.68,743.67
1/22/2000,521.55,738.28,775.00,787.53,785.14,783.34,783.52,781.52,772.29,768.92,768.80,770.07,765.11,769.66,765.03,751.01,744.24,762.76,743.41,743.21,742.82,742.52,744.53,758.07,788.46,809.74,978.39,1176.45,746.82,1322.19,769.86,1339.90,1323.53,1258.68,1042.88,690.72,364.09,1095.97,870.85,751.86,753.06,754.65,756.21,736.17,661.99,786.03,853.03,905.57,935.17,751.89,749.31,752.74,756.12,764.87,601.71,81.52,741.90,739.85,739.72,739.70
1/23/2000,512.77,733.03,771.62,786.16,782.01,779.93,782.52,783.35,773.36,771.66,773.56,776.12,765.76,768.19,762.42,745.55,738.09,759.11,736.97,736.78,736.59,736.42,738.72,754.51,786.78,814.13,1001.12,1197.14,741.35,1325.50,775.45,1344.23,1339.75,1305.96,1150.28,810.52,444.62,1152.85,888.10,747.39,749.87,752.87,754.82,735.07,667.95,782.90,853.42,911.61,947.17,776.72,750.49,753.16,755.08,764.21,648.08,90.43,735.96,734.10,733.80,733.84
