Date,SJ01,SJ02,SJ03,SJ04,SJ05,SJ06,SJ07,SJ08,SJ09,SJ10,SJ11,SJ12,SJ13,SJ14,SJ15,SJ16,SJ17,SJ18,SJ19,SJ20,SJ21,SJ22,SJ23,SJ24,SJ25,SJ26,SJ27,SJ28,SJ29,SJ30
1/11/2000,90.45,72.70,73.85,89.19,76.18,60.71,35.95,33.97,60.93,40.42,5.08,16.13,32.08,206.55,313.87,441.09,574.89,674.71,766.03,780.07,787.11,788.95,788.71,788.07,787.40,786.69,786.21,785.69,785.32,784.66
1/12/2000,93.43,76.27,90.84,106.96,95.56,75.37,44.69,44.75,68.91,38.45,6.98,24.21,52.33,299.59,417.56,540.69,652.37,723.36,777.35,782.89,784.72,783.80,783.46,782.82,782.29,781.62,781.15,780.69,780.27,779.59
1/13/2000,101.84,85.66,102.65,122.60,112.19,92.86,58.54,57.02,72.49,35.43,10.49,48.24,115.32,484.07,596.00,685.31,745.36,771.80,782.13,781.66,780.73,779.52,779.39,779.11,778.76,778.24,777.92,775.68,775.23,774.55
1/14/2000,109.48,94.52,114.39,135.33,128.62,110.95,73.12,68.56,76.81,36.14,14.90,85.18,201.77,610.40,689.79,742.74,770.14,778.91,779.56,778.51,777.37,775.36,775.06,774.52,773.97,773.14,772.61,770.60,770.14,769.45
1/15/2000,116.22,104.51,122.55,144.34,142.30,129.69,92.04,80.75,82.38,40.50,20.68,129.32,280.95,682.22,735.40,764.26,776.12,778.44,775.90,774.44,772.79,769.26,768.86,768.19,767.50,766.50,765.89,765.40,764.97,764.29
1/16/2000,118.64,115.72,125.96,146.13,151.45,146.72,120.51,97.42,95.83,58.09,25.46,136.67,255.24,653.72,718.33,753.15,770.17,774.97,772.87,771.04,768.90,763.35,763.14,762.73,762.19,761.29,760.77,760.32,759.88,759.21
1/17/2000,120.63,121.12,132.94,151.39,156.25,151.73,127.36,110.02,96.57,53.05,38.00,208.40,380.28,730.72,759.69,771.33,773.11,770.15,764.22,762.87,761.44,758.22,757.99,757.54,756.95,756.04,755.56,755.11,754.72,754.04
1/18/2000,124.30,126.13,136.45,153.50,159.74,155.88,136.71,122.99,102.32,55.97,57.94,293.67,482.62,762.16,771.25,770.40,766.38,762.85,758.78,757.67,756.27,753.38,753.24,752.90,752.30,751.43,751.05,750.18,749.71,749.07
1/19/2000,132.04,132.19,142.82,159.67,164.41,160.15,143.77,135.86,111.29,61.54,100.39,417.97,601.56,777.42,772.04,765.76,760.60,757.56,754.25,753.07,751.54,748.74,748.53,748.05,747.27,746.39,745.96,745.07,744.55,743.97
1/20/2000,140.10,139.08,151.42,168.95,170.77,163.72,150.46,149.40,116.55,69.33,179.16,572.83,705.33,775.97,766.80,760.26,755.41,752.41,748.61,747.22,745.71,743.65,743.47,742.97,742.16,741.32,740.90,740.00,739.48,738.88
1/21/2000,148.02,146.15,160.15,178.91,178.26,167.82,157.58,161.63,119.80,85.62,305.72,686.90,756.90,770.17,760.66,753.99,749.48,746.71,743.22,741.95,740.62,739.43,739.30,738.87,738.24,737.69,737.41,734.94,734.41,733.82
1/22/2000,153.51,152.56,169.39,189.61,186.29,171.96,164.81,172.43,129.81,121.96,464.48,744.94,777.22,765.16,754.73,748.21,744.58,742.53,739.30,737.96,736.45,734.30,733.97,733.08,732.20,731.29,730.72,729.79,729.28,728.68
1/23/2000,159.97,159.89,176.77,197.88,195.25,179.67,171.88,180.84,155.82,184.65,593.22,766.43,780.50,759.92,750.97,744.90,741.00,737.91,733.01,731.57,730.26,729.17,728.98,728.46,727.95,727.41,727.14,724.83,724.27,723.71
1/24/2000,167.87,167.61,190.48,214.33,207.06,186.02,179.76,199.86,213.45,297.09,701.40,778.57,786.63,768.08,753.77,745.39,742.10,739.44,734.31,734.16,733.93,734.74,735.36,736.77,737.28,737.10,738.16,722.74,720.91,720.57
1/25/2000,175.96,181.89,219.35,246.16,218.35,186.69,206.21,258.41,379.35,541.39,776.22,803.66,808.29,773.98,759.98,756.07,754.22,751.14,747.46,748.08,744.59,743.82,744.05,744.35,743.58,741.41,741.60,719.86,717.10,716.73
1/26/2000,190.32,204.28,255.30,280.37,221.76,196.35,287.43,425.67,676.75,769.84,815.49,812.15,808.95,775.15,767.97,762.21,759.52,752.80,746.45,746.74,741.40,740.00,739.73,739.16,737.71,734.73,734.24,714.40,711.81,711.25
1/27/2000,204.85,225.04,277.80,301.57,237.67,243.44,482.15,696.52,829.40,837.46,820.68,808.17,800.31,766.55,757.89,751.32,748.93,743.54,737.87,738.21,733.82,733.02,732.87,732.52,731.30,728.70,728.37,709.01,706.56,706.04
1/28/2000,214.78,239.63,292.13,321.75,272.51,335.27,670.03,838.21,865.62,849.45,816.81,797.73,790.39,760.64,751.39,745.75,743.24,738.65,733.07,733.38,729.28,728.32,728.24,728.04,726.91,724.37,724.15,704.24,701.67,701.20
1/29/2000,212.46,240.19,293.69,331.35,308.35,379.47,708.32,869.09,868.19,845.55,806.81,789.69,781.86,751.08,745.43,739.15,735.84,731.27,725.22,723.42,720.71,714.40,713.67,712.19,710.10,706.97,705.71,696.63,695.04,694.36
1/30/2000,197.17,225.67,273.28,309.07,328.75,352.28,593.27,818.39,867.20,841.96,803.12,775.39,764.57,736.68,729.95,721.78,714.05,708.38,703.34,701.95,700.81,696.08,695.41,694.03,692.50,690.72,689.72,688.84,688.33,687.63
1/31/2000,197.73,228.34,274.86,304.23,331.04,361.50,610.01,839.09,854.50,827.65,787.37,749.98,737.46,708.36,703.05,698.36,693.39,690.13,686.43,684.95,683.62,680.63,679.45,676.56,673.15,669.19,667.04,664.46,662.49,658.68
2/1/2000,191.05,222.07,257.95,283.83,317.42,352.42,561.95,810.49,851.00,818.60,774.92,725.18,715.01,694.22,688.78,685.13,681.09,674.34,660.41,659.19,659.74,665.34,667.70,673.67,680.25,687.61,691.72,695.69,699.20,706.37
2/2/2000,186.32,215.39,243.52,265.64,299.59,337.53,524.78,785.24,844.69,810.74,758.27,708.03,702.37,680.50,669.97,663.50,666.52,679.92,710.19,717.00,720.92,726.60,728.63,733.76,739.15,744.96,748.40,750.86,753.70,759.54
2/3/2000,176.55,202.32,227.32,245.47,274.64,307.93,446.70,713.03,844.74,810.18,748.80,699.73,694.88,674.73,681.47,695.54,710.47,723.36,751.37,760.20,766.70,772.68,774.08,777.93,782.35,786.67,789.32,792.28,794.48,798.85
2/4/2000,175.66,198.26,220.97,236.17,262.04,290.59,433.91,717.91,837.63,802.41,733.89,692.25,687.58,702.33,715.78,731.50,749.82,764.55,787.62,795.48,801.52,806.50,807.14,808.81,810.60,812.42,813.54,814.80,815.71,817.51
2/5/2000,173.77,194.28,214.04,228.18,249.91,277.15,416.60,685.41,827.96,795.39,722.41,686.45,690.72,738.26,754.41,770.31,786.28,797.76,811.15,815.06,818.26,823.54,825.41,830.71,836.32,841.81,845.36,849.08,851.91,857.26
2/6/2000,175.13,194.55,211.71,225.11,244.88,268.84,435.74,704.00,814.50,781.56,708.16,687.16,710.19,775.71,789.42,801.10,811.53,821.49,844.85,853.78,860.94,869.11,871.35,876.84,881.65,886.83,890.39,894.19,897.06,902.20
2/7/2000,172.22,191.73,207.11,219.66,238.86,261.36,419.11,687.98,799.03,767.69,699.21,701.62,738.18,806.97,818.11,831.31,847.74,862.97,890.99,899.90,906.52,914.67,917.20,922.87,927.55,932.88,936.68,940.62,943.61,948.92
2/8/2000,169.46,188.70,202.96,214.80,232.55,251.58,400.01,666.61,785.76,755.80,694.45,723.82,765.85,837.25,852.41,869.96,889.46,906.54,937.04,946.61,953.10,959.85,961.40,964.65,967.37,970.54,972.86,975.20,976.99,980.16
2/9/2000,168.00,186.05,199.86,210.24,226.67,242.68,383.70,643.31,773.69,745.13,694.40,746.68,792.38,873.09,892.11,912.33,933.04,949.97,972.70,978.75,982.69,986.18,986.87,988.16,989.26,990.66,991.73,992.75,993.51,994.87
2/10/2000,165.39,181.37,195.52,204.22,218.81,232.11,345.79,602.82,761.14,738.35,699.67,766.30,813.05,908.62,928.88,948.01,965.34,976.83,989.05,992.14,994.73,996.56,996.37,995.93,995.50,994.91,994.47,994.03,993.71,993.17
